;Neighborhood;Postal Code;1st Most Common Venue;2nd Most Common Venue;3rd Most Common Venue;4th Most Common Venue;5th Most Common Venue;6th Most Common Venue;7th Most Common Venue;8th Most Common Venue;9th Most Common Venue;10th Most Common Venue
0;Malvern, Rouge;M1B;Fast Food Restaurant;Donut Shop;Dim Sum Restaurant;Diner;Discount Store;Distribution Center;Dog Run;Doner Restaurant;Drugstore;College Rec Center
1;Rouge Hill, Port Union, Highland Creek;M1C;Bar;Yoga Studio;Donut Shop;Diner;Discount Store;Distribution Center;Dog Run;Doner Restaurant;Drugstore;Dessert Shop
2;Guildwood, Morningside, West Hill;M1E;Mexican Restaurant;Breakfast Spot;Electronics Store;Intersection;Medical Center;Bank;Rental Car Location;Dog Run;Discount Store;Distribution Center
3;Woburn;M1G;Coffee Shop;Korean Restaurant;Yoga Studio;Dim Sum Restaurant;Diner;Discount Store;Distribution Center;Dog Run;Doner Restaurant;Donut Shop
4;Cedarbrae;M1H;Bank;Lounge;Hakka Restaurant;Fried Chicken Joint;Athletics & Sports;Thai Restaurant;Caribbean Restaurant;Gas Station;Bakery;Discount Store
5;Scarborough Village;M1J;Playground;Doner Restaurant;Dessert Shop;Dim Sum Restaurant;Diner;Discount Store;Distribution Center;Dog Run;Donut Shop;College Gym
6;Kennedy Park, Ionview, East Birchmount Park;M1K;Discount Store;Train Station;Coffee Shop;Bus Station;Department Store;Yoga Studio;Dim Sum Restaurant;Diner;Distribution Center;Dog Run
7;Golden Mile, Clairlea, Oakridge;M1L;Bus Line;Bakery;Soccer Field;Ice Cream Shop;Bus Station;Metro Station;Park;Dumpling Restaurant;Drugstore;Donut Shop
8;Cliffside, Cliffcrest, Scarborough Village West;M1M;American Restaurant;Motel;Event Space;Ethiopian Restaurant;Electronics Store;Eastern European Restaurant;Dumpling Restaurant;Drugstore;Donut Shop;Department Store
9;Birch Cliff, Cliffside West;M1N;College Stadium;Café;Skating Rink;General Entertainment;Dog Run;Dim Sum Restaurant;Diner;Discount Store;Distribution Center;Doner Restaurant
10;Dorset Park, Wexford Heights, Scarborough Town Centre;M1P;Indian Restaurant;Light Rail Station;Chinese Restaurant;Vietnamese Restaurant;Pet Store;Brewery;Electronics Store;Eastern European Restaurant;Dumpling Restaurant;Drugstore
11;Wexford, Maryvale;M1R;Breakfast Spot;Bakery;Smoke Shop;Middle Eastern Restaurant;Yoga Studio;Doner Restaurant;Discount Store;Distribution Center;Dog Run;Drugstore
12;Agincourt;M1S;Skating Rink;Lounge;Breakfast Spot;Clothing Store;Latin American Restaurant;Drugstore;Discount Store;Distribution Center;Dog Run;Doner Restaurant
13;Clarks Corners, Tam O'Shanter, Sullivan;M1T;Pharmacy;Pizza Place;Convenience Store;Italian Restaurant;Fried Chicken Joint;Thai Restaurant;Chinese Restaurant;Gas Station;Bank;Noodle House
14;Milliken, Agincourt North, Steeles East, L'Amoreaux East;M1V;Playground;Park;Doner Restaurant;Dessert Shop;Dim Sum Restaurant;Diner;Discount Store;Distribution Center;Dog Run;Donut Shop
15;Steeles West, L'Amoreaux West;M1W;Coffee Shop;Chinese Restaurant;Breakfast Spot;Sandwich Place;Thrift / Vintage Store;Fast Food Restaurant;Bank;Pizza Place;Pharmacy;Grocery Store
16;Hillcrest Village;M2H;Athletics & Sports;Pool;Golf Course;Mediterranean Restaurant;Dog Run;Yoga Studio;Doner Restaurant;Dim Sum Restaurant;Diner;Discount Store
17;Fairview, Henry Farm, Oriole;M2J;Clothing Store;Coffee Shop;Fast Food Restaurant;Women's Store;Restaurant;Bank;Bakery;Shoe Store;Japanese Restaurant;Tea Room
18;Bayview Village;M2K;Café;Bank;Japanese Restaurant;Chinese Restaurant;Yoga Studio;Dog Run;Diner;Discount Store;Distribution Center;Doner Restaurant
19;York Mills, Silver Hills;M2L;Cafeteria;Park;Doner Restaurant;Dessert Shop;Dim Sum Restaurant;Diner;Discount Store;Distribution Center;Dog Run;Donut Shop
20;Willowdale, Willowdale East;M2N;Ramen Restaurant;Restaurant;Sandwich Place;Café;Coffee Shop;Pizza Place;Indonesian Restaurant;Sushi Restaurant;Ice Cream Shop;Steakhouse
21;York Mills West;M2P;Park;Bar;Convenience Store;Yoga Studio;Donut Shop;Diner;Discount Store;Distribution Center;Dog Run;Doner Restaurant
22;Willowdale, Willowdale West;M2R;Pizza Place;Pharmacy;Grocery Store;Bank;Butcher;Coffee Shop;Discount Store;Dog Run;Dim Sum Restaurant;Diner
23;Parkwoods;M3A;Food & Drink Shop;Park;Yoga Studio;Dim Sum Restaurant;Diner;Discount Store;Distribution Center;Dog Run;Doner Restaurant;Donut Shop
24;Don Mills;M3B;Gym / Fitness Center;Caribbean Restaurant;Japanese Restaurant;Athletics & Sports;Café;Construction & Landscaping;Dim Sum Restaurant;Event Space;Ethiopian Restaurant;Electronics Store
25;Don Mills;M3C;Restaurant;Gym;Coffee Shop;Beer Store;Asian Restaurant;Art Gallery;Sporting Goods Shop;Dim Sum Restaurant;Supermarket;Japanese Restaurant
26;Bathurst Manor, Wilson Heights, Downsview North;M3H;Coffee Shop;Bank;Pharmacy;Supermarket;Bridal Shop;Shopping Mall;Sandwich Place;Restaurant;Pizza Place;Mobile Phone Shop
27;Northwood Park, York University;M3J;Falafel Restaurant;Massage Studio;Coffee Shop;Bar;Metro Station;Caribbean Restaurant;Yoga Studio;Doner Restaurant;Discount Store;Distribution Center
28;Downsview;M3K;Business Service;Airport;Park;Snack Place;Yoga Studio;Doner Restaurant;Diner;Discount Store;Distribution Center;Dog Run
29;Downsview;M3L;Grocery Store;Bank;Park;Hotel;Shopping Mall;Yoga Studio;Dog Run;Dim Sum Restaurant;Diner;Discount Store
30;Downsview;M3M;Food Truck;Baseball Field;Yoga Studio;Diner;Discount Store;Distribution Center;Dog Run;Doner Restaurant;Donut Shop;Dessert Shop
31;Downsview;M3N;Gym / Fitness Center;Grocery Store;Athletics & Sports;Liquor Store;Discount Store;Doner Restaurant;Dim Sum Restaurant;Diner;Distribution Center;Dog Run
32;Victoria Village;M4A;French Restaurant;Coffee Shop;Portuguese Restaurant;Hockey Arena;Intersection;Yoga Studio;Distribution Center;Dessert Shop;Dim Sum Restaurant;Diner
33;Parkview Hill, Woodbine Gardens;M4B;Pizza Place;Pet Store;Intersection;Café;Breakfast Spot;Athletics & Sports;Gastropub;Bank;Fast Food Restaurant;Gym / Fitness Center
34;Woodbine Heights;M4C;Skating Rink;Pharmacy;Spa;Park;Bus Stop;Dance Studio;Curling Ice;Beer Store;Dog Run;Diner
35;The Beaches;M4E;Pub;Health Food Store;Trail;Yoga Studio;Dessert Shop;Dim Sum Restaurant;Diner;Discount Store;Distribution Center;Dog Run
36;Leaside;M4G;Coffee Shop;Bank;Furniture / Home Store;Burger Joint;Sporting Goods Shop;Restaurant;Department Store;Sushi Restaurant;Supermarket;Fish & Chips Shop
37;Thorncliffe Park;M4H;Indian Restaurant;Yoga Studio;Bank;Gym;Gas Station;Fast Food Restaurant;Discount Store;Park;Pizza Place;Coffee Shop
38;East Toronto, Broadview North (Old East York);M4J;Park;Convenience Store;Coffee Shop;Donut Shop;Dim Sum Restaurant;Diner;Discount Store;Distribution Center;Dog Run;Doner Restaurant
39;The Danforth West, Riverdale;M4K;Greek Restaurant;Italian Restaurant;Coffee Shop;Furniture / Home Store;Ice Cream Shop;Bookstore;Frozen Yogurt Shop;Pub;Fruit & Vegetable Store;Caribbean Restaurant
40;India Bazaar, The Beaches West;M4L;Park;Fast Food Restaurant;Pet Store;Brewery;Fish & Chips Shop;Intersection;Steakhouse;Italian Restaurant;Liquor Store;Burrito Place
41;Studio District;M4M;Café;Coffee Shop;Brewery;Gastropub;American Restaurant;Bakery;Pet Store;Clothing Store;Ice Cream Shop;Stationery Store
42;Lawrence Park;M4N;Park;Bus Line;Swim School;Yoga Studio;Dog Run;Dim Sum Restaurant;Diner;Discount Store;Distribution Center;Doner Restaurant
